,userid,content,data,tags
52,7elevenkorea,"7elevenkorea인증됨#세븐신상설탕 저리 비켜~~!🫸당Down으로 즐길 디저트 등장🦸‍♂️근본인 팥이냐 VS 부드러운 슈크림이냐극강의 선택지 디저트 모나카와당류 2g 미만의 쫀~쫀~한 크림롤까지!여기에 우유 한 잔 쪼옥 들이키면?세상 부럽지 않다구~❤️🎁#이벤트디저트39 콜라보 3종 상품 중 가장 맛보고 싶은상품을 골라 댓글로 남겨주세요!추첨을 통해 모바일 상품권을 드려요✨(@7elevenkorea 팔로우 필수!)☑️일정 : 1/16(목)~1/22(수)☑️경품 : 세븐일레븐 모바일 상품권 10,000원 / 100명☑️당첨발표 : 1/24(금)——----(●⌒∇⌒●) 3종 라인업 —-—---디저트39 저당팥모나카,저당슈크림모나카🏷️정상가 3,000원→할인가 2,000원 (~1/31)디저트39 저당초코크림롤🏷️3,900원 디저트39 저당딸기크림롤🏷️3,900원 - (*1/22 출시 예정)디저트39 초코/커피/딸기/바나나우유🏷️2,200원 (* 2+1행사 (1/15~1/31))5일",2025-01-15,"['#세븐신상설탕', '#이벤트디저트39']"
53,7elevenkorea,"7elevenkorea인증됨#세븐어클락⏰수요일 7시에 찾아오는 7’O Clock 이벤트⏰⠀두근두근🧡콩닥콩닥💚 농덕들 심쿵하게 만드는 소식노멀/홀로/포토제닉/컬러제틱 4종 구성에랜덤 친필사인카드까지-!내가 뽑은 카드는 과연 어떤 카드일까 >_<? 🏀⠀🎁KBL 카드에 대한 기대평을 남겨주세요.댓글을 남겨주신 분들께 추첨을 통해 세븐일레븐 모바일 상품권을 드립니다. (@7elevenkorea 팔로우 필수!)⠀☑️일정: 1/15(수)~1/21(화)☑️경품: 세븐일레븐 모바일 상품권 5,000원권(10명)☑️당첨발표: 1/23(목)⠀SCC 2024-2025 KBL 오피셜 컬렉션 카드 (*1/16 출시 예정)🏷️1팩(5장) 2,000원 / 1상자(20팩) 40,000원※2024.12.03 KBL 등록 선수 기준 구성⠀#세븐일레븐 #KBL카드5일",2025-01-15,"['#세븐어클락⏰수요일', '#세븐일레븐', '#KBL카드5일']"
54,7elevenkorea,"7elevenkorea인증됨#세븐신상🔎 크붕이 그만 사랑하는 법: “검색 결과 없음”⠀신선한 파스퇴르 우유크림을 듬뿍!🤍카라멜라이징으로 달콤함은 덤 💯⠀찬바람 쌩쌩💨 부는 오늘 같은 날,세븐일레븐 크로와상붕어빵으로따뜻한 겨울 보내지 않을래요?⠀크로와상붕어빵 우유크림🏷️2,800원※ 서울/인천/경기/강원 지역 한정 운영⠀#세븐일레븐 #크로와상붕어빵우유크림5일",2025-01-15,"['#세븐신상🔎', '#세븐일레븐', '#크로와상붕어빵우유크림5일']"
55,7elevenkorea,"7elevenkorea인증됨#EVENT✧저당인데 건강하당 맛있당 또 먹고싶당✧⠀우리에게 무엇보다 가장 중요한 것은?첫째도 건강! 둘째도 건강! 셋째도 건강!저당인데 맛있게 즐길 수 있는 디저트39콜라보를 소개합니다!⠀담함량을 저감한 디저트39 우유 4종저당으로 부담 없이 달콤하게 즐길 수 있는 크림롤 2종까지⠀🎁디저트39와 세븐일레븐의 콜라보가 기대된다면댓글에 ‘디저트39 콜라보’를 외쳐주세요!추첨을 통해 세븐일레븐 모바일 상품권을 드립니다.(@7elevenkorea 팔로우 필수!)⠀☑️일정: 1/15(수)~1/21(화)☑️경품: 세븐일레븐 모바일 상품권 5,000원권(10명)☑️당첨발표: 1/23(목)⠀디저트39 저당초코크림롤🏷️3,900원디저트39 저당딸기크림롤🏷️3,900원 (*1/22 출시 예정)디저트39 초코/커피/딸기/바나나우유 500ml🏷️2,200원(2+1 행사 진행중, 1/15~1/31)⠀#세븐일레븐 #디저트396일",2025-01-15,"['#EVENT✧저당인데', '#세븐일레븐', '#디저트396일']"
56,7elevenkorea,"7elevenkorea인증됨#세븐신상2025 설날에는 이것만은 꼭…🧡혜택 가득한 세븐일레븐에서 설날 맞이 GO! GO!⠀베스트상품 20종으로 소중한 사람들에게설레는 선물과 함께 고마움을 전하세요!세븐일레븐과 함께 넉넉하고 따스한 설날되세요🙏⠀✅하나카드/카카오페이머니 현장 결제 시10% 할인 혜택이 가득가득!(*1회 결제당 10만원 한도)(카드행사기간: 1월 4일~2월 4일)⠀※개인 신용/ 체크카드 할인적용 (법인, 선불, 기프트, 하나BC기반카드, 간편결제 등록건 제외)※카카오페이머니 결제 시 10% 현장할인 (이외 타 신용카드, 제로페이/삼성페이 등 결제수단 불가)⠀🛒더 많은 상품과 자세한 혜택은 세븐일레븐 프로필설 카탈로그 링크를 확인하세요!⠀#세븐일레븐 #설날6일",2025-01-14,"['#세븐신상2025', '#세븐일레븐', '#설날6일']"
57,7elevenkorea,"7elevenkorea인증됨#EVENT🏀두근두근 설레는 내 맘..들리니..? (⸝⸝⍢⸝⸝) ෆ🏀농덕들 마음을 요동치게 만드는 KBL 농구카드!⠀내가 뽑은 카드는 어떤 카드일지랜덤이라 더욱 설레고 궁금한 KBL 농구카드랜덤 친필사인카드까지 확인할 수 있으니1월 16일 세븐일레븐으로 달려가세요!⠀🎁KBL 카드가 기대된다면 댓글에 🏀농구공 이모티콘을 남겨주세요!추첨을 통해 세븐일레븐 모바일 상품권을 드립니다.(@7elevenkorea 팔로우 필수!)⠀☑️일정: 1/14(화)~1/20(월)☑️경품: 세븐일레븐 모바일 상품권 5,000원권(10명)☑️당첨발표: 1/22(수)⠀SCC 2024-2025 KBL 오피셜 컬렉션 카드 (*1/16 출시 예정)🏷️1팩(5장) 2,000원 / 1상자(20팩) 40,000원※2024.12.03 KBL 등록 선수 기준 구성⠀#세븐일레븐 #KBL농구카드1주",2025-01-14,"['#EVENT🏀두근두근', '#세븐일레븐', '#KBL농구카드1주']"
58,7elevenkorea,"7elevenkorea인증됨#세븐신상행복한 고민 시~~작! >_< 💛한 그릇 뚝딱! 사라지게 만드는 나의 원픽 반찬은?매콤한 닭갈비 vs 소불고기⠀맛장우 도시락은 고민할 필요 없어요🍴닭다리살로 만든 매콤한 닭갈비와소불고기가 함께 있어 둘 다 즐길 수 있어요-!⠀맛장우도시락 오늘은소불고기닭🏷️6,500원⠀#세븐일레븐 #맛장우도시락1주",2025-01-14,"['#세븐신상행복한', '#세븐일레븐', '#맛장우도시락1주']"
59,7elevenkorea,"7elevenkorea인증됨#세븐신상이것이 찐 생맥주! 생드래프트비어 진짜 후메잌디스 💛🍺⠀효모가 살아있는 생맥주 그대로 캔에 담은신동엽 생드래프트비어, 아직도 안 먹어봤다구요?!그렇다면 이제 여러분이 먹어 볼 차례!⠀오리지널 생드래프트 비어와 함께 주변의 소중한 사람과맛있고 행복한 시간 보내세요 ♪( ‘o’ و(و ♪❗유사품에 주의하세요❗⠀생드래프트비어500ml캔🏷️5,000원⠀📌지나친 음주는 암 발생의 원인이며, 임신 중 음주는태아의 기형이나 유산, 청소년 음주는 성장과 뇌 발달을 저해합니다.⠀#세븐일레븐 #생드래프트비어1주",2025-01-13,"['#세븐신상이것이', '#세븐일레븐', '#생드래프트비어1주']"
60,emart24_official,"emart24_official인증됨3...2...1!🚀해피뉴이어💖올해도 이마트24에서 잘 부탁해!🙋‍♀️🙋‍♂️웰컴 2025!스스륵~ 푸른뱀이 물고 온1억원 상당의 황금 선물 대잔치🐍💰이마트24 전품목 구매 시1억 경품을 2,400명에게 쏜다!🎯💌응모방법1️⃣ 5천원 이상 제품 구매 (*담배/서비스 상품 제외) 2️⃣ 신세계 포인트 적립3️⃣ 개인정보 수집 및 이용 동의📌기간 : 1/1(수) ~ 1/31(금), 발표 2/7(금)💌당첨경품✔골드바 5돈 (10명)✔다이슨 빅+콰이엇 공기청정기 (15명)✔미닉스 더플렌더 음식물처리기 (20명)✔아임이 스마트TV 43형 (100명)✔노브랜드 밥솥 (200명)✔이마트24 1만원권 (400명)✔이마트24 5천원권 (1,655명)* 신세계 포인트 앱에서 확인 가능2주",2025-01-06,[]
61,emart24_official,"emart24_official인증됨3...2...1!🚀해피뉴이어💖올해도 이마트24에서 잘 부탁해!🙋‍♀️🙋‍♂️웰컴 2025!내가 상상했던 그 이상의 맛을이마트24에서 새롭게😲💡무엇을 상상하든 ’상상의끝‘!끝내주는 가성비 신제품 2종 출시🔊(소근.. 소근..) 업계 초저가🍙1900김밥 (1,900원)🍱3600비빔밥 (3,600원)📱#앱이벤트1월 한달 간 상상의끝 신제품 2종이마트24 앱 바코드 스캔 구매 시1천원 앱 할인쿠폰 전원 증정!* 응모하기 버튼 클릭 필수!📌기간 : 1/1(수) ~ 1/31(금)가격은 저렴하지만 퀄리티는 그대로!💞수정됨 · 2주",2025-01-06,['#앱이벤트1월']
